data;id_compra;loja;vendedor;produto;cliente_nome;cliente_genero;forma_pagamento
2025-01-25 19:25:06.963892;0;Belo Horizonte;Carlos Silva;Smartphone Samsung Galaxy;Grace Nelke;feminino;pix
2025-01-25 19:59:05.283161;1;Florianópolis;Gabriela Santos;Tablet Apple iPad;Joyce Thomas;feminino;pix
2025-01-25 20:58:05.399882;2;Rio de Janeiro;Juliana Almeida;Fone de Ouvido Sony;Marcella Andres;feminino;pix
2025-01-25 23:30:05.740936;3;Florianópolis;Lucas Pereira;Notebook Dell Inspiron;John Ross;masculino;dinheiro
2025-01-26 01:36:03.457480;4;Florianópolis;Lucas Pereira;Notebook Dell Inspiron;Michael Noyes;masculino;dinheiro
2025-01-26 18:33:07.387308;5;São Paulo;Ana Oliveira;Tablet Apple iPad;Donn Thomas;masculino;dinheiro
2025-01-26 18:39:07.640161;6;Rio de Janeiro;Juliana Almeida;Smartphone Samsung Galaxy;Brian Romano;masculino;cartão de crédito
2025-01-26 20:24:06.447121;7;Florianópolis;Gabriela Santos;Notebook Dell Inspiron;Gloria Wilson;feminino;boleto
2025-01-26 21:15:07.455098;8;Belo Horizonte;Fernanda Costa;Fone de Ouvido Sony;Zachary Everett;masculino;boleto
2025-01-26 21:34:05.787025;9;Rio de Janeiro;Pedro Souza;Notebook Dell Inspiron;Nancy Strong;feminino;pix
2025-01-27 01:37:06.886755;10;São Paulo;Ana Oliveira;Tablet Apple iPad;Isaac Bolk;masculino;cartão de crédito
2025-01-27 18:42:03.420826;11;Florianópolis;Gabriela Santos;Smartphone Samsung Galaxy;Hattie Molina;feminino;pix
2025-01-27 19:58:06.285781;12;São Paulo;Ana Oliveira;Tablet Apple iPad;Rachel Uong;feminino;dinheiro
2025-01-27 23:22:05.054260;13;São Paulo;Ana Oliveira;Notebook Dell Inspiron;Terrence Warner;masculino;pix
2025-01-27 23:59:04.381080;14;Porto Alegre;Roberto Ferreira;Smartphone Samsung Galaxy;Brian Williams;masculino;cartão de crédito
2025-01-28 03:30:07.196697;15;Florianópolis;Gabriela Santos;Smartwatch Garmin;Sandra Hegmann;feminino;dinheiro
2025-01-28 19:01:04.414780;16;Rio de Janeiro;Pedro Souza;Tablet Apple iPad;Michael Dalphonse;masculino;dinheiro
2025-01-28 19:21:04.507330;17;Rio de Janeiro;Pedro Souza;Notebook Dell Inspiron;Jennifer Safdeye;feminino;boleto
2025-01-28 19:37:07.379947;18;Porto Alegre;Roberto Ferreira;Fone de Ouvido Sony;Emmitt Wilson;masculino;pix
2025-01-28 19:57:06.355871;19;Rio de Janeiro;Pedro Souza;Notebook Dell Inspiron;Jeremy Bateman;masculino;cartão de crédito
2025-01-28 20:30:06.083990;20;Belo Horizonte;Carlos Silva;Smartwatch Garmin;Joanne Jonason;feminino;dinheiro
2025-01-28 21:55:05.618386;21;Belo Horizonte;Fernanda Costa;Tablet Apple iPad;Michael Begay;masculino;pix
2025-01-28 23:21:03.776052;22;Porto Alegre;Roberto Ferreira;Notebook Dell Inspiron;Shirley Barnes;feminino;boleto
2025-01-29 02:22:05.321398;23;Belo Horizonte;Carlos Silva;Smartphone Samsung Galaxy;Sean Goldman;masculino;cartão de crédito
2025-01-29 22:00:07.398479;24;Porto Alegre;Mariana Gomes;Smartwatch Garmin;Jean Gouge;feminino;dinheiro
2025-01-30 17:45:05.055940;25;Porto Alegre;Mariana Gomes;Notebook Dell Inspiron;Melvin Blankenship;masculino;cartão de crédito
2025-01-30 20:38:06.757453;26;Porto Alegre;Mariana Gomes;Smartphone Samsung Galaxy;Rachel Fox;feminino;pix
2025-01-30 21:36:06.919376;27;Rio de Janeiro;Pedro Souza;Notebook Dell Inspiron;Michael Sulley;masculino;dinheiro
2025-01-30 22:24:03.995602;28;São Paulo;Lucas Pereira;Smartwatch Garmin;Dexter Perreault;masculino;boleto
2025-01-30 23:47:07.360420;29;Porto Alegre;Roberto Ferreira;Fone de Ouvido Sony;James Bibbins;masculino;pix
2025-01-31 00:10:03.647607;30;Florianópolis;Gabriela Santos;Smartwatch Garmin;Dolly Mccann;feminino;boleto
2025-01-31 03:31:06.183192;31;São Paulo;Ana Oliveira;Smartwatch Garmin;Mary Hudson;feminino;boleto
2025-01-31 04:04:03.576169;32;Rio de Janeiro;Juliana Almeida;Smartphone Samsung Galaxy;Linda Hale;feminino;cartão de crédito
2025-01-31 20:52:04.662176;33;Rio de Janeiro;Juliana Almeida;Tablet Apple iPad;Peter Hogue;masculino;dinheiro
2025-02-01 20:31:03.419990;34;São Paulo;Ana Oliveira;Fone de Ouvido Sony;Richard Lee;masculino;dinheiro
2025-02-01 20:37:04.466256;35;Belo Horizonte;Fernanda Costa;Fone de Ouvido Sony;Jason Washington;masculino;boleto
2025-02-01 23:57:04.611638;36;Rio de Janeiro;Juliana Almeida;Notebook Dell Inspiron;Theresa Anderson;feminino;dinheiro
2025-02-02 01:00:04.795598;37;Rio de Janeiro;Juliana Almeida;Smartphone Samsung Galaxy;John Hancock;masculino;pix
2025-02-02 02:45:07.057439;38;Florianópolis;Lucas Pereira;Smartwatch Garmin;Mary Marsh;feminino;dinheiro
2025-02-02 21:45:04.045259;39;Rio de Janeiro;Juliana Almeida;Fone de Ouvido Sony;Luis Young;masculino;cartão de crédito
2025-02-02 22:57:04.544126;40;Rio de Janeiro;Pedro Souza;Smartwatch Garmin;Mary Cook;feminino;cartão de crédito
2025-02-03 00:58:05.473764;41;São Paulo;Lucas Pereira;Notebook Dell Inspiron;Yolanda Iuliucci;feminino;pix
2025-02-03 18:27:06.872422;42;Porto Alegre;Mariana Gomes;Tablet Apple iPad;Sheri Grant;feminino;pix
2025-02-03 18:53:06.486913;43;Rio de Janeiro;Juliana Almeida;Tablet Apple iPad;Barbara Boykin;feminino;cartão de crédito
2025-02-03 20:39:03.953784;44;Florianópolis;Lucas Pereira;Tablet Apple iPad;Heather Segrest;feminino;dinheiro
2025-02-03 21:30:06.834287;45;Belo Horizonte;Carlos Silva;Fone de Ouvido Sony;Mary Faunce;feminino;boleto
2025-02-03 23:31:06.957168;46;Porto Alegre;Mariana Gomes;Smartwatch Garmin;William Murphy;masculino;boleto
2025-02-04 01:43:05.067676;47;São Paulo;Lucas Pereira;Fone de Ouvido Sony;Jill Rodgers;feminino;dinheiro
2025-02-04 03:28:05.529687;48;Belo Horizonte;Carlos Silva;Tablet Apple iPad;Cody Mercado;masculino;pix
